video_id,comments_disabled,ratings_disabled,video_error_or_removed,likes_log,label,dislikes_log,comment_log,num_tags,desc_len,len_title,country_CA,country_FR,country_IN,country_US,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Movies,category_Music,category_News & Politics,category_Nonprofits & Activism,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Shows,category_Sports,category_Trailers,category_Travel & Events,publish_weekday_1,publish_weekday_2,publish_weekday_3,publish_weekday_4,publish_weekday_5,publish_weekday_6,publish_weekday_7
kzwfHumJyYc,False,False,False,10.433144744037245,13.907476971790734,6.683360945766275,6.78332520060396,15,920,81,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
zUZ1z7FwLc8,True,False,False,6.601230118728877,13.288050682295577,6.807934943699926,0.0,19,2232,58,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10L1hZ9qa58,False,False,False,7.60688453121963,13.068939393656878,5.497168225293202,5.010635294096256,14,482,58,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
N1vE8iiEg64,False,False,False,11.16129491949047,14.032781700387751,7.393263094763838,7.895436006942965,20,263,30,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
kJzGH0PVQHQ,False,False,False,6.20050917404269,13.047674313372497,5.683579767338681,4.204692619390966,11,753,88,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
il_pSa5l98w,False,False,False,11.498958377741612,15.624892174393528,8.339500903005945,8.46884293047519,22,449,91,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7MxiQ4v0EnE,False,False,False,11.755699079672716,15.559263780679146,8.872767529910936,8.99516499031115,18,1411,96,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
c64I9HNpiOY,False,False,False,11.796140073147356,16.17526697582603,9.08398318309966,9.291736010180175,26,1299,96,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
KObFEYCaRx8,False,False,False,6.255750041753367,11.68033640902843,3.9889840465642745,3.1780538303479458,21,509,97,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
g8QsfJhFpjY,False,False,False,10.998744217390875,13.784051882105244,7.343426229147367,7.785305182539862,23,477,34,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
